Record ID,Entered name,Entered name author,Current name,Current name author,Current name TVK,Common name,Species notes,Site notes,Locality,Vice county,Country,Grid ref.,Lon,Lat,Altitude,Date,Date Start,Date End,Substrate,Substrate Qualifier,Other Substrate,FRDBI no,Literature,Other Literature,Source,Morph,NCC Ecosystem,Associations,VCname (Ent),VCnum (Ent),County,Certainty,Abundance,Licence,Start Year,End Year
18359172,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,,East Ross,Scotland,NH68045569,-4.208,57.572,97,11/10/2020,11/10/2020,11/10/2020,soil,,Soil grassy,,,,,,A13 Mixed woodland,European Larch (Larix decidua),,106,,,,CC BY,2020,2020
18359203,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,,East Ross,Scotland,NH69385656,-4.186,57.58,182,20/10/2020,20/10/2020,20/10/2020,soil,,,,,,,,A13 Mixed woodland,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2020,2020
18358844,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,,East Inverness-shire,Scotland,NH68764411,-4.19,57.468,76,20/10/2020,20/10/2020,20/10/2020,soil,,,,,,,,J3 Built-up areas,Scots Pine (Pinus sylvestris),,96,,,,CC BY,2020,2020
9969885,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,"Carn Brea Leisure Centre, Pool",West Cornwall,England,SW67014107,-5.268,50.224,,8/11/2018,8/11/2018,8/11/2018,soil,,,,,Kibby Boletes,,,J4 Bare Ground,Pine (Pinus),"Cornwall, West (with Scilly)",,,Certain,several fruitbodies,CC BY,2018,2018
18589066,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Rynettin & Forest Lodge Track,East Inverness-shire,Scotland,NJ018159,-3.627,57.224,300,26/9/2020,26/9/2020,26/9/2020,soil,,,,,,,,A13 Mixed woodland,Scots Pine (Pinus sylvestris),"Inverness-shire, East (with Nairn)",96,Grampian,Certain,,CC0,2020,2020
18589101,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Rynettin & Forest Lodge Track,East Inverness-shire,Scotland,NJ018159,-3.627,57.224,300,26/9/2020,26/9/2020,26/9/2020,soil,,,,"British Boletes, with keys to species, Kibby, G, 2011",,,,A13 Mixed woodland,Scots Pine (Pinus sylvestris),"Inverness-shire, East (with Nairn)",96,Grampian,Certain,,CC0,2020,2020
18581249,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Loch an Eilien,East Inverness-shire,Scotland,NH897076,-3.824,57.146,270,25/9/2020,25/9/2020,25/9/2020,soil,,,,,,,,A131 Mixed semi-natural,Scots Pine (Pinus sylvestris),"Inverness-shire, East (with Nairn)",96,Grampian,Certain,,CC0,2020,2020
33945141,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Clocaenog Forest. Bod Petryal,Denbighshire | Merionethshire,Wales,SJ036511,-3.439,53.049,300,25/7/2023,25/7/2023,25/7/2023,soil,,,,,,,,A132 Mixed plantation,Spruce (Picea),Denbighshire,50,Clwyd,Certain,,CC0,2023,2023
33957874,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Coniston. Coniston Hall,Westmorland,England,SD301954,-3.076,54.35,50,6/8/2023,6/8/2023,6/8/2023,soil,,,,,,,,A131 Mixed semi-natural,European Larch (Larix decidua),Westmorland with North Lancashire,69,Cumbria,Certain,,CC0,2023,2023
33959602,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Delamere Forest. Central area,Cheshire,England,SJ540713,-2.69,53.237,,11/8/2023,11/8/2023,11/8/2023,soil,,,,,,,,A131 Mixed semi-natural,European Larch (Larix decidua),Cheshire,58,Cheshire,Certain,,CC0,2023,2023
34025919,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Llyn Brenig Public,Denbighshire,Wales,SH985583,-3.517,53.113,400,12/10/2023,12/10/2023,12/10/2023,,,,,,,,,A131 Mixed semi-natural,Rosy Spike (Gomphidius roseus),Denbighshire,50,Clwyd,,,CC0,2023,2023
